iter	Passed	Remaining
0	242	193904
1	427	170515
2	512	136190
3	614	122257
4	738	117458
5	870	115238
6	986	111703
7	1099	108848
8	1183	103974
9	1260	99601
10	1341	96249
11	1537	100980
12	1661	100591
13	1759	98787
14	1885	98663
15	2002	98146
16	2113	97330
17	2245	97554
18	2402	98739
19	2529	98637
20	2681	99483
21	2872	101599
22	3004	101491
23	3130	101235
24	3258	101018
25	3379	100608
26	3507	100425
27	3628	100040
28	3785	100633
29	3919	100606
30	4063	100790
31	4216	101204
32	4323	100489
33	4437	99972
34	4555	99574
35	4676	99247
36	4795	98887
37	4920	98678
38	5076	99060
39	5170	98244
40	5262	97427
41	5355	96656
42	5461	96155
43	5581	95908
44	5686	95413
45	5804	95150
46	5926	94943
47	6039	94622
48	6173	94622
49	6276	94151
50	6391	93867
51	6548	94204
52	6655	93805
53	6748	93227
54	6897	93425
55	7151	95017
56	7278	94880
57	7404	94731
58	7513	94363
59	7626	94055
60	7741	93789
61	7883	93836
62	7996	93546
63	8130	93506
64	8241	93191
65	8423	93675
66	8520	93222
67	8640	93012
68	8752	92722
69	8870	92505
70	8998	92396
71	9130	92315
72	9251	92131
73	9393	92158
74	9545	92271
75	9663	92059
76	9784	91873
77	9905	91688
78	10037	91609
79	10146	91318
80	10256	91041
81	10392	91001
82	10515	90835
83	10632	90633
84	10751	90435
85	10869	90241
86	10985	90030
87	11096	89777
88	11217	89610
89	11344	89491
90	11452	89229
91	11587	89175
92	11704	88977
93	11851	89011
94	11976	88875
95	12090	88664
96	12200	88424
97	12366	88584
98	12603	89244
99	12775	89427
100	13228	91553
101	13397	91679
102	13550	91698
103	13715	91787
104	13855	91709
105	14011	91737
106	14143	91599
107	14257	91356
108	14373	91121
109	14500	90954
110	14600	90629
111	14785	90825
112	14959	90946
113	15073	90705
114	15197	90522
115	15318	90329
116	15446	90169
117	15585	90079
118	15697	89831
119	15819	89643
120	15939	89444
121	16082	89377
122	16206	89203
123	16349	89133
124	16457	88870
125	16581	88696
126	16698	88487
127	16819	88301
128	16968	88264
129	17113	88201
130	17253	88110
131	17388	87994
132	17498	87757
133	17605	87501
134	17713	87257
135	17837	87087
136	17932	86782
137	18022	86456
138	18129	86210
139	18244	86010
140	18350	85765
141	18471	85593
142	18587	85397
143	18691	85150
144	18798	84915
145	18877	84561
146	18986	84343
147	19103	84158
148	19203	83901
149	19339	83804
150	19435	83533
151	19559	83387
152	19666	83163
153	19744	82822
154	19834	82538
155	19927	82263
156	20031	82037
157	20133	81807
158	20248	81629
159	20356	81427
160	20459	81201
161	20586	81075
162	20683	80832
163	20799	80662
164	20910	80472
165	21008	80235
166	21158	80200
167	21263	79990
168	21353	79728
169	21453	79504
170	21567	79333
171	21746	79399
172	21870	79262
173	21989	79110
174	22147	79099
175	22291	79031
176	22497	79184
177	22642	79121
178	22817	79161
179	23026	79312
180	23182	79281
181	23367	79346
182	23525	79317
183	23717	79400
184	23902	79458
185	24032	79334
186	24165	79217
187	24300	79106
188	24428	78973
189	24565	78867
190	24791	79046
191	24964	79053
192	25035	78738
193	25162	78601
194	25360	78683
195	25541	78709
196	25702	78672
197	25872	78662
198	26006	78541
199	26123	78371
200	26328	78460
201	26527	78531
202	26735	78627
203	27015	78926
204	27210	78976
205	27443	79134
206	27642	79187
207	27804	79136
208	27921	78955
209	28041	78784
210	28182	78671
211	28382	78720
212	28555	78695
213	28691	78567
214	28847	78491
215	28970	78327
216	29098	78178
217	29225	78024
218	29371	77922
219	29498	77768
220	29700	77813
221	29916	77889
222	30039	77724
223	30177	77598
224	30321	77487
225	30454	77348
226	30615	77280
227	30739	77117
228	30856	76937
229	30960	76728
230	31072	76538
231	31242	76489
232	31352	76294
233	31465	76109
234	31589	75949
235	31767	75920
236	32061	76163
237	32238	76125
238	32498	76283
239	32660	76208
240	32843	76180
241	33099	76320
242	33260	76238
243	33394	76095
244	33591	76093
245	33792	76100
246	33929	75964
247	34053	75797
248	34175	75625
249	34314	75491
250	34426	75299
251	34590	75220
252	34828	75300
253	35060	75367
254	35213	75261
255	35338	75094
256	35491	74986
257	35699	74996
258	35891	74970
259	36062	74898
260	36231	74822
261	36419	74786
262	36548	74624
263	36697	74507
264	36957	74613
265	37134	74547
266	37294	74449
267	37405	74252
268	37598	74217
269	37721	74045
270	37833	73852
271	37973	73713
272	38093	73536
