institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Bombay,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,39.0,117.0,117.0,0.0,2021
IIT,IIT-Madras,Engineering Design,GEN-EWS,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,760.0,900.0,900.0,0.0,2021
IIT,IIT-Tirupati,Electrical Engineering,GEN-EWS,AI,Female-Only,1,4 Years,B.Tech,2021,2381.0,2381.0,2381.0,0.0,2021
IIT,IIT-Bombay,Engineering Physics,GEN-EWS,AI,Female-Only,2,4 Years,B.Tech,2021,1930.0,1930.0,1930.0,0.0,2021
IIT,IIT-Delhi,Chemical Engineering,OBC-NCL,AI,Female-Only,2,5 Years,B.Tech + M.Tech (IDD),2021,4043.0,4504.0,4504.0,0.0,2021
IIT,IIT-Kharagpur,Aerospace Engineering,OBC-NCL,AI,Female-Only,2,4 Years,B.Tech,2021,3927.0,4074.0,4074.0,0.0,2021
IIT,IIT-Madras,Civil Engineering,OBC-NCL,AI,Female-Only,2,4 Years,B.Tech,2021,3455.0,4541.0,4541.0,0.0,2021
IIT,IIT-Delhi,Mathematics and Computing,GEN,AI,Female-Only,1,5 Years,B.Tech + M.Tech (IDD),2021,1031.0,1199.0,1199.0,0.0,2021
IIT,IIT-Bombay,Electrical Engineering,GEN,AI,Gender-Neutral,2,4 Years,B.Tech,2021,95.0,422.0,422.0,0.0,2021
IIT,IIT-Kanpur,Civil Engineering,GEN,AI,Gender-Neutral,2,4 Years,B.Tech,2021,3700.0,5210.0,5210.0,0.0,2021
IIT,IIT-Kanpur,Earth Sciences,GEN,AI,Female-Only,2,4 Years,BSc,2021,13396.0,15484.0,15484.0,0.0,2021
NIT,NIT-Bhopal,Architecture,OBC-NCL,OS,Female-Only,1,5 Years,B.Arch,2021,284.0,364.0,364.0,0.0,2021
NIT,NIT-Agartala,Chemistry,OBC-NCL,OS,Gender-Neutral,1,5 Years,BSc + MSc (IDD),2021,13757.0,13978.0,13978.0,0.0,2021
NIT,NIT-Calicut,Architecture,OBC-NCL,HS,Female-Only,1,5 Years,B.Arch,2021,118.0,118.0,118.0,0.0,2021
NIT,NIT-Hamirpur,Civil Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,39710.0,63927.0,63927.0,0.0,2021
NIT,NIT-Raipur,Information Technology,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,12412.0,20412.0,20412.0,0.0,2021
NIT,NIT-Jalandhar,Electronics and Communication Engineering,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,16270.0,18981.0,18981.0,0.0,2021
NIT,NIT-Raipur,Electrical Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,31094.0,40619.0,40619.0,0.0,2021
NIT,NIT-Raipur,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,11261.0,15108.0,15108.0,0.0,2021
NIT,NIT-Silchar,Civil Engineering,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,39732.0,42806.0,42806.0,0.0,2021
IIT,IIT-Roorkee,Architecture,SC,AI,Gender-Neutral,1,5 Years,B.Arch,2021,2207.0,3289.0,3289.0,0.0,2021
IIT,IIT-Madras,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,2,4 Years,B.Tech,2021,1385.0,1473.0,1473.0,0.0,2021
IIT,IIT-Bombay,Engineering Physics,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,347.0,1290.0,1290.0,0.0,2019
IIT,IIT-Kanpur,Chemical Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,2152.0,3430.0,3430.0,0.0,2019
IIT,IIT-Kanpur,Electrical Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,431.0,994.0,994.0,0.0,2019
NIT,NIT-Jalandhar,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,7,4 Years,B.Tech,2019,14942.0,18724.0,18724.0,0.0,2019
NIT,NIT-Jaipur,Civil Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,17128.0,24422.0,24422.0,0.0,2019
NIT,NIT-Bhopal,Electronics and Communication Engineering,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,12886.0,16571.0,16571.0,0.0,2019
IIT,IIT-Kharagpur,Civil Engineering,GEN-EWS,AI,Female-Only,1,4 Years,B.Tech,2021,1815.0,1815.0,1815.0,0.0,2021
IIT,IIT-Indore,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,495.0,514.0,514.0,0.0,2021
IIT,IIT-Kharagpur,Physics,OBC-NCL,AI,Female-Only,1,4 Years,BSc,2021,7071.0,7396.0,7396.0,0.0,2021
IIT,IIT-Bhubaneswar,Electronics and Communication Engineering,OBC-NCL,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1085.0,1458.0,1458.0,0.0,2021
IIT,IIT-Mandi,Bio Engineering,OBC-NCL,AI,Female-Only,1,5 Years,B.Tech + M.Tech (IDD),2021,8967.0,8967.0,8967.0,0.0,2021
IIT,IIT-Palakkad,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,3417.0,4057.0,4057.0,0.0,2021
IIT,IIT-Roorkee,Chemical Sciences,OBC-NCL,AI,Gender-Neutral,2,5 Years,BS + MS (IDD),2021,3307.0,4518.0,4518.0,0.0,2021
IIT,IIT-Madras,Biological Sciences,GEN,AI,Gender-Neutral,1,5 Years,BS + MS (IDD),2021,7636.0,9887.0,9887.0,0.0,2021
IIT,IIT-Madras,Biological Sciences,GEN,AI,Female-Only,1,5 Years,BS + MS (IDD),2021,11687.0,14429.0,14429.0,0.0,2021
IIT,IIT-Madras,Civil Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,8145.0,11299.0,11299.0,0.0,2021
NIT,NIT-Allahabad,Bio Technology,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,8738.0,10376.0,10376.0,0.0,2021
NIT,NIT-Hamirpur,Chemical Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,7590.0,9599.0,9599.0,0.0,2021
NIT,NIT-Jamshedpur,Electronics and Communication Engineering,OBC-NCL,OS,Female-Only,1,4 Years,B.Tech,2021,7819.0,8127.0,8127.0,0.0,2021
NIT,NIT-Manipur,Computer Science and Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,5927.0,7022.0,7022.0,0.0,2021
NIT,NIT-Jalandhar,Industrial and Production Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,43065.0,59612.0,59612.0,0.0,2021
NIT,NIT-Durgapur,Computer Science and Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,3326.0,6548.0,6548.0,0.0,2021
NIT,NIT-Sikkim,Electronics and Communication Engineering,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,37083.0,37083.0,37083.0,0.0,2021
IIT,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,SC,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,1882.0,1975.0,1975.0,0.0,2021
IIT,IIT-Kharagpur,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,1633.0,1965.0,1965.0,0.0,2021
IIT,IIT-Tirupati,Computer Science and Engineering,SC,AI,Female-Only,1,4 Years,B.Tech,2021,1003.0,1320.0,1320.0,0.0,2021
IIT,IIT-Roorkee,Electronics and Communication Engineering,SC,AI,Female-Only,2,4 Years,B.Tech,2021,855.0,1020.0,1020.0,0.0,2021
IIT,IIT-Delhi,Electrical Engineering,GEN,AI,Female-Only,7,4 Years,B.Tech,2019,795.0,1676.0,1676.0,0.0,2019
IIT,IIT-Kharagpur,Mining Engineering,GEN,AI,Female-Only,7,4 Years,B.Tech,2019,12029.0,12864.0,12864.0,0.0,2019
IIT,IIT-(BHU) Varanasi,Ceramic Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,8335.0,10448.0,10448.0,0.0,2019
NIT,NIT-Meghalaya,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,20875.0,27032.0,27032.0,0.0,2019
NIT,NIT-Raipur,Bio Technology,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,40534.0,44889.0,44889.0,0.0,2019
NIT,NIT-Rourkela,Metallurgical and Materials Engineering,GEN,HS,Gender-Neutral,7,4 Years,B.Tech,2019,26966.0,32750.0,32750.0,0.0,2019
IIT,IIT-Bombay,Chemical Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,320.0,413.0,413.0,0.0,2021
IIT,IIT-Indore,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,709.0,964.0,964.0,0.0,2021
IIT,IIT-Patna,Electrical and Electronics Engineering,GEN-EWS,AI,Female-Only,1,4 Years,B.Tech,2021,1756.0,2259.0,2259.0,0.0,2021
IIT,IIT-Roorkee,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,2,4 Years,B.Tech,2021,60.0,80.0,80.0,0.0,2021
IIT,IIT-Roorkee,Mathematics & Computing,GEN-EWS,AI,Female-Only,2,5 Years,BS + MS (IDD),2021,623.0,623.0,623.0,0.0,2021
IIT,IIT-Kharagpur,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,1,4 Years,B.Tech,2021,53.0,160.0,160.0,0.0,2021
IIT,IIT-Kanpur,Chemical Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,5596.0,7461.0,7461.0,0.0,2021
IIT,IIT-Bombay,Economics,GEN,AI,Gender-Neutral,2,4 Years,BSc,2021,749.0,1910.0,1910.0,0.0,2021
IIT,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,GEN,AI,Gender-Neutral,2,5 Years,B.Tech + M.Tech (IDD),2021,3990.0,4779.0,4779.0,0.0,2021
NIT,NIT-Bhopal,Materials Science and Metallurgical Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,10738.0,12251.0,12251.0,0.0,2021
NIT,NIT-Patna,Mechanical Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,8188.0,9788.0,9788.0,0.0,2021
NIT,NIT-Puducherry,Electrical and Electronics Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,49774.0,49847.0,49847.0,0.0,2021
NIT,NIT-Puducherry,Electrical and Electronics Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,7934.0,8358.0,8358.0,0.0,2021
NIT,NIT-Jaipur,Architecture,GEN,HS,Gender-Neutral,1,5 Years,B.Arch,2021,286.0,1492.0,1492.0,0.0,2021
NIT,NIT-Allahabad,Computer Science and Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,408.0,2362.0,2362.0,0.0,2021
NIT,NIT-Nagaland,Electronics and Instrumentation Engineering,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,41074.0,43924.0,43924.0,0.0,2021
NIT,NIT-Silchar,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,4 Years,B.Tech,2021,7291.0,23307.0,23307.0,0.0,2021
