institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT-Hyderabad,Mathematics and Computing,OBC-NCL,AI,Gender-Neutral,1,480.0,0.0,2021
IIT-Bhubaneswar,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,2185.5,68.41251879058925,2021
IIT-Bhilai,Mechanical Engineering,OBC-NCL,AI,Gender-Neutral,1,4250.0,0.0,2021
IIT-Kharagpur,Chemistry,OBC-NCL,AI,Gender-Neutral,2,4861.0,0.0,2021
IIT-Hyderabad,Biotechnology and Bioinformatics,GEN,AI,Gender-Neutral,1,6371.0,0.0,2021
IIT-Bombay,Chemical Engineering,GEN,AI,Gender-Neutral,2,2139.0,0.0,2021
IIT-Roorkee,Computer Science and Engineering,GEN,AI,Female-Only,2,1205.0,0.0,2021
NIT-Jalandhar,Computer Science and Engineering,OBC-NCL,OS,Female-Only,1,5049.0,0.0,2021
NIT-Durgapur,Electrical Engineering,OBC-NCL,HS,Female-Only,1,23429.0,0.0,2021
NIT-Raipur,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,1,5091.0,0.0,2021
NIT-Rourkela,Electronics and Instrumentation Engineering,OBC-NCL,OS,Gender-Neutral,1,4486.0,0.0,2021
NIT-Calicut,Bio Technology,GEN,HS,Gender-Neutral,1,33103.0,0.0,2021
NIT-Durgapur,Civil Engineering,GEN,OS,Female-Only,1,35607.0,0.0,2021
NIT-Goa,Computer Science and Engineering,GEN,GO,Female-Only,1,17260.0,0.0,2021
NIT-Karnataka-Surathkal,Information Technology,GEN,HS,Female-Only,1,5366.0,0.0,2021
NIT-Kurukshetra,Information Technology,GEN,OS,Female-Only,1,11221.0,0.0,2021
NIT-Rourkela,Bio Technology,GEN,OS,Female-Only,1,26976.0,0.0,2021
NIT-Silchar,Electronics and Instrumentation Engineering,GEN,OS,Gender-Neutral,1,22175.0,0.0,2021
IIT-Madras,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,1,1473.0,0.0,2021
IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,SC,AI,Gender-Neutral,1,2047.0,0.0,2021
IIT-Kharagpur,Aerospace Engineering,SC,AI,Gender-Neutral,2,1097.5,5.744562646538007,2021
IIT-Kharagpur,Electronics and Electrical Communication Engineering,SC,AI,Gender-Neutral,2,246.0,0.0,2021
IIT-Kharagpur,Agricultural and Food Engineering,GEN,AI,Gender-Neutral,7,7291.666666666667,703.5156951577792,2019
IIT-Bhubaneswar,Electronics and Communication Engineering,GEN,AI,Gender-Neutral,7,3760.0,300.50124791754195,2019
NIT-Bhopal,Mechanical Engineering,GEN,HS,Female-Only,7,38109.0,0.0,2019
NIT-Delhi,Computer Science and Engineering,GEN,OS,Gender-Neutral,7,7286.0,0.0,2019
NIT-Mizoram,Mechanical Engineering,GEN,OS,Female-Only,7,52408.0,0.0,2019
