institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Kharagpur,Mining Safety Engineering,GEN-EWS,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,1268.0,1554.0,1554.0,0.0,2021
IIT,IIT-Kanpur,Civil Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,691.0,806.0,806.0,0.0,2021
IIT,IIT-Kharagpur,Chemical Engineering,GEN-EWS,AI,Gender-Neutral,2,5 Years,B.Tech + M.Tech (IDD),2021,846.0,945.0,945.0,0.0,2021
IIT,IIT-Kharagpur,Chemical Engineering,GEN-EWS,AI,Female-Only,2,4 Years,B.Tech,2021,2154.0,2154.0,2154.0,0.0,2021
IIT,IIT-Roorkee,Biosciences and Bioengineering,GEN-EWS,AI,Female-Only,2,4 Years,B.Tech,2021,3070.0,3070.0,3070.0,0.0,2021
IIT,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,OBC-NCL,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,1378.0,2075.0,2075.0,0.0,2021
IIT,IIT-Kanpur,Civil Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,5099.0,5613.0,5613.0,0.0,2021
IIT,IIT-Roorkee,Architecture,OBC-NCL,AI,Gender-Neutral,1,5 Years,B.Arch,2021,4880.0,6033.0,6033.0,0.0,2021
IIT,IIT-Patna,Mathematics and Computing,OBC-NCL,AI,Female-Only,1,4 Years,BSc,2021,4836.0,4843.0,4843.0,0.0,2021
IIT,IIT-Bhilai,Data Science and Artificial Intelligence,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,4527.0,4527.0,4527.0,0.0,2021
IIT,IIT-Roorkee,Electrical Engineering,GEN,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1410.0,1945.0,1945.0,0.0,2021
IIT,IIT-Mandi,Electrical Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,9619.0,12371.0,12371.0,0.0,2021
IIT,IIT-Kanpur,Mathematics and Scientific Computing,GEN,AI,Female-Only,2,4 Years,BSc,2021,2345.0,2858.0,2858.0,0.0,2021
IIT,IIT-Madras,Chemical Engineering,GEN,AI,Female-Only,2,4 Years,B.Tech,2021,5373.0,7696.0,7696.0,0.0,2021
NIT,NIT-Bhopal,Chemical Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,14273.0,15586.0,15586.0,0.0,2021
NIT,NIT-Nagaland,Civil Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,12732.0,12826.0,12826.0,0.0,2021
NIT,NIT-Mizoram,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,10982.0,12068.0,12068.0,0.0,2021
NIT,NIT-Rourkela,Electronics and Communication Engineering,OBC-NCL,OS,Female-Only,1,4 Years,B.Tech,2021,3502.0,3502.0,3502.0,0.0,2021
NIT,NIT-Srinagar,Civil Engineering,OBC-NCL,OS,Female-Only,1,4 Years,B.Tech,2021,18908.0,19506.0,19506.0,0.0,2021
NIT,NIT-Jaipur,Architecture,GEN,OS,Gender-Neutral,1,5 Years,B.Arch,2021,375.0,607.0,607.0,0.0,2021
NIT,NIT-Patna,Computer Science and Engineering,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,10234.0,12661.0,12661.0,0.0,2021
IIT,IIT-Madras,Aerospace Engineering,SC,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,726.0,726.0,726.0,0.0,2021
NIT,NIT-Karnataka-Surathkal,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,4 Years,B.Tech,2019,2776.0,5112.0,5112.0,0.0,2019
NIT,NIT-Rourkela,Chemical Engineering,GEN,HS,Female-Only,7,4 Years,B.Tech,2019,23745.0,28716.0,28716.0,0.0,2019
IIT,IIT-Bombay,BS in Mathematics,GEN-EWS,AI,Gender-Neutral,1,4 Years,BSc,2021,424.0,451.0,451.0,0.0,2021
IIT,IIT-Kharagpur,Ocean Engineering and Naval Architecture,GEN-EWS,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,1571.0,1632.0,1632.0,0.0,2021
IIT,IIT-Guwahati,Chemical Engineering,GEN-EWS,AI,Female-Only,1,4 Years,B.Tech,2021,2272.0,2274.0,2274.0,0.0,2021
IIT,IIT-Goa,Mechanical Engineering,GEN-EWS,AI,Female-Only,1,4 Years,B.Tech,2021,3496.0,3496.0,3496.0,0.0,2021
IIT,IIT-Kharagpur,Instrumentation Engineering,GEN-EWS,AI,Gender-Neutral,2,4 Years,B.Tech,2021,364.0,416.0,416.0,0.0,2021
IIT,IIT-Bombay,Chemistry,OBC-NCL,AI,Female-Only,1,4 Years,BSc,2021,5070.0,5966.0,5966.0,0.0,2021
IIT,IIT-Kharagpur,Aerospace Engineering,OBC-NCL,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1157.0,1870.0,1870.0,0.0,2021
IIT,IIT-Kharagpur,Industrial and Systems Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,4374.0,5390.0,5390.0,0.0,2021
IIT,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,OBC-NCL,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,2180.0,2282.0,2282.0,0.0,2021
IIT,IIT-Kharagpur,Instrumentation Engineering,OBC-NCL,AI,Female-Only,2,4 Years,B.Tech,2021,2868.0,3432.0,3432.0,0.0,2021
IIT,IIT-Kanpur,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,4 Years,B.Tech,2021,100.0,213.0,213.0,0.0,2021
IIT,IIT-Jodhpur,Artificial Intelligence and Data Science,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,6941.0,7153.0,7153.0,0.0,2021
IIT,IIT-Tirupati,Chemical Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,17334.0,18952.0,18952.0,0.0,2021
IIT,IIT-Delhi,Chemical Engineering,GEN,AI,Gender-Neutral,2,5 Years,B.Tech + M.Tech (IDD),2021,2271.0,3209.0,3209.0,0.0,2021
IIT,IIT-Kharagpur,Ocean Engineering and Naval Architecture,GEN,AI,Female-Only,2,4 Years,B.Tech,2021,12956.0,14406.0,14406.0,0.0,2021
NIT,NIT-Calicut,Civil Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,9221.0,11663.0,11663.0,0.0,2021
NIT,NIT-Hamirpur,Architecture,OBC-NCL,OS,Gender-Neutral,1,5 Years,B.Arch,2021,282.0,441.0,441.0,0.0,2021
NIT,NIT-Jamshedpur,Production and Industrial Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,18651.0,18654.0,18654.0,0.0,2021
