College Code,College Name,Seat Category,Branch Code,Branch Name,Cutoff Rank
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AE,Aeronautical Engineering,59353
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,78979
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,BT,Biotechnology,83584
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CD,Computer Science & Engineering (Data Science),74477
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CS,Computer Science & Engineering,66375
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,EC,Electronics & Communication Engineering,48966
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,EE,Electrical & Electronics Engineering,53340
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,IS,Information Science & Engineering,61684
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,ME,Mechanical Engineering,29367
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,MT,Mechatronics Engineering,64410
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,41746
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,CD,Computer Science & Engineering (Data Science),44419
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,CS,Computer Science & Engineering,53948
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,EC,Electronics & Communication Engineering,72647
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,EE,Electrical & Electronics Engineering,68728
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,IS,Information Science & Engineering,70849
E003,"A.C.S. College of Engineering-Kambipura Mysore Road,
Bengaluru",GM,AS,Aerospace Engineering,56033
E003,"A.C.S. College of Engineering-Kambipura Mysore Road,
Bengaluru",GM,CS,Computer Science & Engineering,78464
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara,
Chikkamagaluru",GM,CD,Computer Science & Engineering (Data Science),74192
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara,
Chikkamagaluru",GM,CS,Computer Science & Engineering,94331
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara,
Chikkamagaluru",GM,EC,Electronics & Communication Engineering,80525
E005,"Akash Institute of Engineering and Technology-Devanahalli,
Bengaluru Rural",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),65098
E006,"Alvas Institute of Engineering and Technology-Moodbidri,
Mangaluru",GM,AG,Agriculture Engineering,97806
E006,"Alvas Institute of Engineering and Technology-Moodbidri,
Mangaluru",GM,AI,Artificial Intelligence & Machine Learning,75934
E006,"Alvas Institute of Engineering and Technology-Moodbidri,
Mangaluru",GM,CS,Computer Science & Engineering,96523
E006,"Alvas Institute of Engineering and Technology-Moodbidri,
Mangaluru",GM,IS,Information Science & Engineering,66409
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AE,Aeronautical Engineering,85705
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,96420
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CD,Computer Science & Engineering (Data Science),100328
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),92567
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CS,Computer Science & Engineering,100868
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CV,Civil Engineering,69742
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,EC,Electronics & Communication Engineering,86980
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,IS,Information Science & Engineering,75402
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,ME,Mechanical Engineering,82125
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,CD,Computer Science & Engineering (Data Science),86862
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,CS,Computer Science & Engineering,94314
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,EC,Electronics & Communication Engineering,69006
E009,"Angadi Institute of Technology and Management-Savagaon
Road, Belagavi",GM,CS,Computer Science & Engineering,86707
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,CY,Computer Science & Engineering (Cyber Security),52152
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,IS,Information Science & Engineering,69473
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,98519
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,CD,Computer Science & Engineering (Data Science),67494
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,CG,Computer Science & Design,90768
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,CS,Computer Science & Engineering,82217
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,IS,Information Science & Engineering,91245
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,UE,Electronics & Computer Engineering,64641
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,62080
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,CS,Computer Science & Engineering,96334
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,AI,Artificial Intelligence & Machine Learning,100356
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,CS,Computer Science & Engineering,95668
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,39898
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,CS,Computer Science & Engineering,30741
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,EC,Electronics & Communication Engineering,60533
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,EE,Electrical & Electronics Engineering,61025
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,IS,Information Science & Engineering,40347
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,51067
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,CS,Computer Science & Engineering,40955
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,EC,Electronics & Communication Engineering,67647
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,EE,Electrical & Electronics Engineering,74480
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,IS,Information Science & Engineering,51705
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,AR,Automation & Robotics Engineering,92848
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,BT,Biotechnology,95802
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,CA,Computer Science & Engineering (Artificial Intelligence),49639
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,CS,Computer Science & Engineering,28951
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,CV,Civil Engineering,94080
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,EC,Electronics & Communication Engineering,76965
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,EE,Electrical & Electronics Engineering,99769
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,ME,Mechanical Engineering,101378
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",GM,VL,Electronics Engineering (VLSI Design & Technology),53043
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",KKR,AR,Automation & Robotics Engineering,47637
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",KKR,CA,Computer Science & Engineering (Artificial Intelligence),33637
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",KKR,CS,Computer Science & Engineering,25837
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",KKR,EC,Electronics & Communication Engineering,60684
E016,"KLE Technological University Formerly known as BVBCET-
Vidyanagar, Hubballi",KKR,EE,Electrical & Electronics Engineering,87923
E017,"Ballari Institute of Technology And Management-Near
Allipura, Ballari",GM,AI,Artificial Intelligence & Machine Learning,75751
E017,"Ballari Institute of Technology And Management-Near
Allipura, Ballari",GM,CS,Computer Science & Engineering,74205
E017,"Ballari Institute of Technology And Management-Near
Allipura, Ballari",KKR,CS,Computer Science & Engineering,99594
E018,"Bangalore College of Engineering and Technology-
Chandapura, Bengaluru",GM,CS,Computer Science & Engineering,100408
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,15770
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,CD,Computer Science & Engineering (Data Science),13221
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,CS,Computer Science & Engineering,10896
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,CV,Civil Engineering,68680
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,EC,Electronics & Communication Engineering,29050
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,EE,Electrical & Electronics Engineering,67183
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,EI,Electronics & Instrumentation Engineering,98313
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,ET,Electronics & Telecommunicati on Engineering,87996
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),17469
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,IS,Information Science & Engineering,18608
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,ME,Mechanical Engineering,80613
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,RI,Robotics & Artificial Intelligence,23115
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,VL,Electronics Engineering (VLSI Design & Technology),63253
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,23964
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,CD,Computer Science & Engineering (Data Science),26792
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,CS,Computer Science & Engineering,19966
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,EC,Electronics & Communication Engineering,39505
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,EE,Electrical & Electronics Engineering,67840
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,ET,Electronics & Telecommunicati on Engineering,55888
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),32750
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,IS,Information Science & Engineering,30504
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,RI,Robotics & Artificial Intelligence,44732
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,VL,Electronics Engineering (VLSI Design & Technology),89330
E020,"Bangalore Technological Institute-Chikkanayakanahalli
Dinne, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,41656
E020,"Bangalore Technological Institute-Chikkanayakanahalli
Dinne, Bengaluru",GM,CS,Computer Science & Engineering,74759
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,AI,Artificial Intelligence & Machine Learning,97787
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,CD,Computer Science & Engineering (Data Science),81541
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,CS,Computer Science & Engineering,76181
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,EC,Electronics & Communication Engineering,96226
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,EE,Electrical & Electronics Engineering,84225
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",GM,IS,Information Science & Engineering,101492
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",KKR,AI,Artificial Intelligence & Machine Learning,79815
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",KKR,CS,Computer Science & Engineering,88677
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",KKR,EC,Electronics & Communication Engineering,83784
E021,"Bapuji Institute of Engineering and Technology-Shamanur
Road, Davangere",KKR,IS,Information Science & Engineering,74407
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,AI,Artificial Intelligence & Machine Learning,92752
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,CS,Computer Science & Engineering,97717
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,CV,Civil Engineering,99685
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,EC,Electronics & Communication Engineering,89042
